aX,aY,aZ,gX,gY,gZ
0.245,-0.173,-0.877,-4.211,-5.188,0.366
0.230,-0.144,-0.911,-1.343,-4.150,-0.488
0.202,-0.098,-0.960,-0.244,-3.296,-0.854
0.175,-0.058,-1.005,-0.854,-2.930,-0.793
0.165,-0.029,-1.051,-3.357,-2.319,-0.305
0.158,-0.019,-1.071,-7.324,-1.770,-0.305
0.145,-0.034,-1.047,-11.475,-1.892,-0.793
0.145,-0.067,-1.028,-13.550,-2.197,-1.526
0.159,-0.113,-1.008,-14.709,-2.808,-2.075
0.159,-0.153,-0.979,-15.381,-3.174,-2.808
0.164,-0.191,-0.950,-14.893,-3.357,-3.235
0.167,-0.211,-0.937,-13.733,-2.930,-2.747
0.175,-0.212,-0.938,-12.146,-2.319,-1.343
0.185,-0.207,-0.940,-10.742,-1.953,0.244
0.193,-0.196,-0.954,-9.094,-1.587,2.014
0.198,-0.178,-0.991,-7.935,-1.038,3.052
0.198,-0.157,-1.021,-8.301,-0.183,2.991
0.193,-0.136,-1.035,-9.827,0.305,1.526
0.182,-0.126,-1.047,-11.353,0.244,-0.488
0.176,-0.122,-1.043,-13.489,-0.488,-2.197
0.171,-0.113,-1.031,-15.991,-0.305,-2.502
0.176,-0.111,-1.026,-18.250,0.732,-1.465
0.182,-0.113,-1.021,-20.142,1.526,0.000
0.187,-0.123,-1.026,-21.484,1.953,1.038
0.185,-0.132,-1.031,-22.583,1.648,1.038
0.173,-0.142,-1.031,-23.682,1.038,0.061
0.160,-0.149,-1.029,-24.414,-0.244,-1.648
0.152,-0.146,-1.035,-25.024,-1.404,-3.357
0.145,-0.139,-1.047,-25.452,-1.892,-5.127
0.125,-0.127,-1.064,-26.428,-3.357,-7.507
0.107,-0.113,-1.079,-27.954,-5.127,-8.789
0.108,-0.121,-1.084,-30.518,-6.042,-8.301
0.113,-0.136,-1.075,-34.180,-6.653,-6.958
0.113,-0.149,-1.053,-37.903,-7.568,-5.554
0.119,-0.162,-1.028,-40.344,-8.301,-4.883
0.130,-0.175,-1.023,-40.710,-9.155,-5.188
0.135,-0.187,-1.033,-39.856,-11.108,-6.470
0.132,-0.184,-1.041,-39.551,-13.733,-8.240
0.128,-0.178,-1.036,-40.405,-15.625,-9.583
0.126,-0.175,-1.040,-41.687,-16.418,-10.620
0.121,-0.171,-1.044,-43.457,-16.846,-10.620
0.116,-0.161,-1.042,-46.387,-17.334,-9.827
0.118,-0.157,-1.039,-49.194,-17.456,-8.301
0.121,-0.160,-1.038,-51.758,-17.517,-6.775
0.133,-0.175,-1.032,-54.138,-18.372,-6.287
0.145,-0.206,-1.013,-56.458,-19.897,-6.531
0.156,-0.237,-0.989,-58.655,-21.790,-7.263
0.161,-0.273,-0.966,-60.486,-23.315,-8.179
0.166,-0.304,-0.944,-61.768,-24.475,-8.545
0.174,-0.325,-0.918,-62.927,-25.024,-8.118
0.193,-0.352,-0.904,-62.500,-25.391,-7.568
0.208,-0.370,-0.897,-62.073,-25.818,-7.324
0.222,-0.380,-0.893,-61.829,-26.123,-7.080
0.231,-0.392,-0.889,-61.401,-25.635,-7.263
0.236,-0.403,-0.890,-60.791,-25.330,-6.958
0.241,-0.403,-0.882,-60.425,-25.269,-6.592
0.247,-0.405,-0.877,-59.570,-25.818,-7.080
0.245,-0.399,-0.878,-57.983,-26.917,-8.667
0.237,-0.392,-0.888,-56.335,-28.809,-10.864
0.229,-0.382,-0.905,-54.932,-30.334,-12.573
0.221,-0.375,-0.924,-55.664,-30.884,-13.245
0.215,-0.367,-0.926,-58.594,-30.579,-12.695
0.220,-0.365,-0.916,-62.195,-30.151,-11.658
0.225,-0.374,-0.884,-65.613,-29.724,-11.292
0.238,-0.394,-0.859,-66.772,-30.762,-11.902
0.253,-0.413,-0.847,-67.261,-32.959,-13.489
0.266,-0.436,-0.832,-67.688,-34.668,-16.174
0.271,-0.460,-0.808,-68.542,-36.133,-19.958
0.266,-0.487,-0.788,-69.031,-37.903,-23.315
0.260,-0.508,-0.780,-69.397,-38.574,-25.146
0.251,-0.528,-0.777,-70.923,-37.903,-25.574
0.241,-0.538,-0.779,-73.242,-36.560,-24.414
0.240,-0.540,-0.770,-76.599,-34.607,-22.034
0.241,-0.548,-0.752,-79.163,-32.776,-19.958
0.243,-0.554,-0.747,-80.505,-32.288,-18.188
0.256,-0.558,-0.753,-81.299,-32.410,-17.456
0.266,-0.559,-0.750,-83.130,-32.776,-18.311
0.271,-0.564,-0.743,-85.022,-34.119,-19.775
0.272,-0.568,-0.731,-87.402,-35.828,-21.912
0.267,-0.573,-0.716,-89.966,-36.438,-24.475
0.246,-0.579,-0.686,-92.712,-37.415,-25.940
0.235,-0.595,-0.666,-94.788,-37.537,-25.757
0.223,-0.616,-0.655,-97.107,-35.461,-23.682
